Country,Sector,Annual Export to the US ($ million),Baseline ETR (%),S301 ETR (%),ETR Change (pp)
Niger,Energy & Minerals,0.2,0.2,0.0,-0.2
Niger,Base Metals,0.3,20.2,18.8,-1.5
Niger,Chemical & Pharmaceutical,1.7,35.8,30.1,-5.7
Niger,Consumer Goods & Crafts,0.4,8.7,1.7,-7.0
Niger,Industrial Equipment & Technology,7.6,10.9,2.5,-8.4
Niger,Agricultural & Foods,0.8,9.8,0.0,-9.8
Niger,Art & Collectibles,0.3,10.0,0.0,-10.0
Niger,Textile & Apparel Manufacturing,0.4,10.0,0.0,-10.0
Nigeria,Art & Collectibles,4.7,10.0,12.5,2.5
Nigeria,Textile & Apparel Manufacturing,6.7,10.0,12.5,2.5
Nigeria,Base Metals,45.3,9.9,12.4,2.5
Nigeria,Industrial Equipment & Technology,4.2,11.9,13.9,1.9
Nigeria,Agricultural & Foods,77.8,6.9,8.5,1.6
Nigeria,Consumer Goods & Crafts,11.3,6.3,7.9,1.6
Nigeria,Chemical & Pharmaceutical,172.1,2.2,2.7,0.5
Nigeria,Energy & Minerals,3475.9,0.0,0.0,0.0
Rwanda,Energy & Minerals,3.8,0.0,0.0,0.0
Rwanda,Base Metals,6.2,0.9,0.9,-0.0
Rwanda,Agricultural & Foods,30.1,1.3,0.0,-1.3
Rwanda,Industrial Equipment & Technology,0.5,8.8,5.8,-3.0
Rwanda,Consumer Goods & Crafts,3.4,9.7,0.0,-9.7
Rwanda,Chemical & Pharmaceutical,0.2,9.8,0.0,-9.8
Rwanda,Art & Collectibles,0.3,10.0,0.0,-10.0
Rwanda,Textile & Apparel Manufacturing,1.8,10.0,0.0,-10.0
Sao Tome and Principe,Energy & Minerals,0.2,0.0,0.0,0.0
Sao Tome and Principe,Base Metals,0.1,42.7,41.3,-1.5
Sao Tome and Principe,Agricultural & Foods,0.2,3.1,0.0,-3.1
Sao Tome and Principe,Industrial Equipment & Technology,1.8,13.1,6.9,-6.2
Sao Tome and Principe,Consumer Goods & Crafts,0.2,14.7,7.8,-6.9
Sao Tome and Principe,Chemical & Pharmaceutical,0.0,31.0,23.3,-7.7
Sao Tome and Principe,Art & Collectibles,0.0,10.0,0.0,-10.0
Sao Tome and Principe,Textile & Apparel Manufacturing,0.0,10.0,0.0,-10.0
Senegal,Chemical & Pharmaceutical,17.4,0.3,0.1,-0.2
Senegal,Energy & Minerals,114.0,1.0,0.0,-1.0
Senegal,Industrial Equipment & Technology,2.4,16.3,12.5,-3.8
Senegal,Base Metals,0.3,28.5,23.1,-5.3
Senegal,Agricultural & Foods,73.0,10.0,0.0,-10.0
Senegal,Consumer Goods & Crafts,350.2,10.0,0.0,-10.0
Senegal,Art & Collectibles,0.8,10.0,0.0,-10.0
Senegal,Textile & Apparel Manufacturing,50.5,10.0,0.0,-10.0
Seychelles,Energy & Minerals,0.0,0.0,0.0,0.0
Seychelles,Base Metals,0.3,28.3,26.8,-1.5
Seychelles,Chemical & Pharmaceutical,1.2,7.0,1.5,-5.6
Seychelles,Industrial Equipment & Technology,4.5,11.1,2.7,-8.4
Seychelles,Agricultural & Foods,5.2,10.0,0.0,-10.0
Seychelles,Consumer Goods & Crafts,2.2,10.0,0.0,-10.0
Seychelles,Textile & Apparel Manufacturing,0.5,10.0,0.0,-10.0
Seychelles,Art & Collectibles,0.1,10.0,0.0,-10.0
Sierra Leone,Energy & Minerals,6.5,0.0,0.0,-0.0
Sierra Leone,Base Metals,1.3,43.1,41.8,-1.3
Sierra Leone,Agricultural & Foods,4.0,5.5,0.0,-5.5
Sierra Leone,Industrial Equipment & Technology,10.2,12.8,5.7,-7.1
Sierra Leone,Chemical & Pharmaceutical,1.0,12.3,4.5,-7.8
Sierra Leone,Consumer Goods & Crafts,7.3,9.6,0.2,-9.4
Sierra Leone,Art & Collectibles,0.1,10.0,0.0,-10.0
Sierra Leone,Textile & Apparel Manufacturing,0.4,10.0,0.0,-10.0
Somalia,Industrial Equipment & Technology,1.5,20.9,19.5,-1.4
Somalia,Base Metals,0.0,25.2,23.6,-1.6
Somalia,Consumer Goods & Crafts,0.3,13.4,6.9,-6.5
Somalia,Agricultural & Foods,0.7,10.0,0.0,-10.0
Somalia,Art & Collectibles,0.2,10.0,0.0,-10.0
Somalia,Chemical & Pharmaceutical,0.3,10.0,0.0,-10.0
Somalia,Textile & Apparel Manufacturing,0.0,10.0,0.0,-10.0
South Africa,Art & Collectibles,37.6,10.0,12.5,2.5
South Africa,Textile & Apparel Manufacturing,35.6,10.0,12.5,2.5
South Africa,Chemical & Pharmaceutical,681.0,10.4,12.5,2.2
South Africa,Agricultural & Foods,713.9,7.3,9.0,1.7
South Africa,Consumer Goods & Crafts,8434.8,4.0,5.0,1.0
South Africa,Energy & Minerals,717.3,3.8,4.7,0.9
South Africa,Base Metals,1081.9,21.6,22.2,0.6
South Africa,Industrial Equipment & Technology,2891.8,22.6,22.9,0.4
South Sudan,Base Metals,0.0,50.0,50.0,0.0
South Sudan,Industrial Equipment & Technology,0.1,10.9,6.7,-4.2
South Sudan,Agricultural & Foods,0.7,10.0,0.0,-10.0
South Sudan,Art & Collectibles,0.1,10.0,0.0,-10.0
South Sudan,Chemical & Pharmaceutical,0.0,10.0,0.0,-10.0
South Sudan,Consumer Goods & Crafts,0.1,10.0,0.0,-10.0
South Sudan,Textile & Apparel Manufacturing,0.0,10.0,0.0,-10.0
Sudan,Agricultural & Foods,26.7,10.0,0.0,-10.0
Sudan,Art & Collectibles,0.0,10.0,0.0,-10.0
Sudan,Chemical & Pharmaceutical,1.1,10.0,0.0,-10.0
Sudan,Consumer Goods & Crafts,0.0,10.0,0.0,-10.0
Tanzania,Energy & Minerals,0.6,0.8,0.0,-0.8
Tanzania,Base Metals,0.2,29.1,25.4,-3.6
Tanzania,Agricultural & Foods,53.2,4.2,0.0,-4.2
Tanzania,Industrial Equipment & Technology,3.3,16.7,11.3,-5.4
Tanzania,Chemical & Pharmaceutical,1.5,7.9,0.0,-7.9
Tanzania,Consumer Goods & Crafts,67.8,9.9,0.0,-9.9
Tanzania,Art & Collectibles,0.5,10.0,0.0,-10.0
Tanzania,Textile & Apparel Manufacturing,86.1,10.0,0.0,-10.0
Togo,Base Metals,0.0,22.8,21.4,-1.4
Togo,Consumer Goods & Crafts,0.9,7.5,0.1,-7.4
Togo,Industrial Equipment & Technology,0.5,10.7,3.3,-7.4
Togo,Agricultural & Foods,117.2,9.8,0.0,-9.8
Togo,Chemical & Pharmaceutical,1.1,10.0,0.0,-10.0
Togo,Energy & Minerals,0.0,10.0,0.0,-10.0
Togo,Textile & Apparel Manufacturing,9.8,10.0,0.0,-10.0
Togo,Art & Collectibles,0.0,10.0,0.0,-10.0
Tunisia,Energy & Minerals,92.8,2.4,0.0,-2.4
Tunisia,Chemical & Pharmaceutical,115.8,3.4,0.0,-3.4
Tunisia,Base Metals,17.3,20.1,15.7,-4.4
Tunisia,Industrial Equipment & Technology,292.3,15.0,8.8,-6.2
Tunisia,Consumer Goods & Crafts,48.1,10.1,0.4,-9.7
Tunisia,Agricultural & Foods,349.6,10.0,0.0,-10.0
Tunisia,Art & Collectibles,0.8,10.0,0.0,-10.0
Tunisia,Textile & Apparel Manufacturing,140.7,10.0,0.0,-10.0
Uganda,Base Metals,0.0,2.2,2.2,0.0
Uganda,Agricultural & Foods,115.6,1.7,0.0,-1.7
Uganda,Industrial Equipment & Technology,4.6,10.2,1.1,-9.1
Uganda,Consumer Goods & Crafts,4.6,9.6,0.0,-9.6
Uganda,Chemical & Pharmaceutical,13.3,10.5,0.6,-9.9
Uganda,Art & Collectibles,0.9,10.0,0.0,-10.0
Uganda,Energy & Minerals,1.1,10.0,0.0,-10.0
Uganda,Textile & Apparel Manufacturing,0.2,10.0,0.0,-10.0
Zambia,Base Metals,21.1,0.2,0.0,-0.2
Zambia,Agricultural & Foods,11.9,3.1,0.0,-3.1
Zambia,Industrial Equipment & Technology,1.0,18.2,15.1,-3.1
Zambia,Chemical & Pharmaceutical,0.1,13.9,4.4,-9.6
Zambia,Energy & Minerals,0.7,9.7,0.0,-9.7
Zambia,Consumer Goods & Crafts,107.8,10.0,0.0,-10.0
Zambia,Art & Collectibles,0.2,10.0,0.0,-10.0
Zambia,Textile & Apparel Manufacturing,0.0,10.0,0.0,-10.0
Zimbabwe,Base Metals,30.5,0.0,0.0,-0.0
Zimbabwe,Consumer Goods & Crafts,5.0,6.6,0.1,-6.5
Zimbabwe,Industrial Equipment & Technology,1.6,10.5,2.4,-8.1
Zimbabwe,Agricultural & Foods,47.8,9.0,0.0,-9.0
Zimbabwe,Energy & Minerals,1.0,9.5,0.0,-9.5
Zimbabwe,Art & Collectibles,1.3,10.0,0.0,-10.0
Zimbabwe,Chemical & Pharmaceutical,0.1,10.0,0.0,-10.0
Zimbabwe,Textile & Apparel Manufacturing,0.6,10.0,0.0,-10.0
